dset,dp_importance,co_ratio,best
income,0.0,0.0,0.1571511931451735
income,0.0,0.1,0.1594545622063206
income,0.0,0.2,0.1548478240840267
income,0.0,0.30000000000000004,0.1575811553699211
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1575811553699211
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1556463253585576
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1548478240840267
income,0.0,0.1,0.1575811553699211
income,0.0,0.2,0.1548478240840267
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1548478240840267
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1576425785448847
income,0.0,0.1,0.1604066214182609
income,0.0,0.2,0.1571511931451735
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1556463253585576
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.157734713307331
income,0.0,0.1,0.1576425785448847
income,0.0,0.2,0.1548478240840267
income,0.0,0.30000000000000004,0.1556463253585576
income,0.0,0.4,0.1559227296458953
income,0.0,0.5,0.1559227296458953
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1574275974325113
income,0.0,0.0,0.1575811553699211
income,0.0,0.1,0.1559227296458953
income,0.0,0.2,0.1574275974325113
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1556463253585576
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1571511931451735
income,0.0,0.1,0.1548478240840267
income,0.0,0.2,0.1548478240840267
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1571511931451735
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1594545622063206
income,0.0,0.1,0.1576425785448847
income,0.0,0.2,0.1556463253585576
income,0.0,0.30000000000000004,0.1575811553699211
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1571511931451735
income,0.0,0.6000000000000001,0.1556463253585576
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1574275974325113
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1620343355548048
income,0.0,0.1,0.1556463253585576
income,0.0,0.2,0.1574275974325113
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.4,0.1556463253585576
income,0.0,0.5,0.1575811553699211
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1576425785448847
income,0.0,0.1,0.1599459476060316
income,0.0,0.2,0.1559227296458953
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.4,0.1574275974325113
income,0.0,0.5,0.1571511931451735
income,0.0,0.6000000000000001,0.1571511931451735
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1576425785448847
income,0.0,0.1,0.1571511931451735
income,0.0,0.2,0.1548478240840267
income,0.0,0.30000000000000004,0.1556463253585576
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1548478240840267
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1574275974325113
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1548478240840267
income,0.0,0.1,0.1571511931451735
income,0.0,0.2,0.1574275974325113
income,0.0,0.30000000000000004,0.1574275974325113
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1548478240840267
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1559227296458953
income,0.0,0.1,0.1575811553699211
income,0.0,0.2,0.1571511931451735
income,0.0,0.30000000000000004,0.1556463253585576
income,0.0,0.4,0.1556463253585576
income,0.0,0.5,0.1548478240840267
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1571511931451735
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1613279690427198
income,0.0,0.1,0.1548478240840267
income,0.0,0.2,0.1605601793556708
income,0.0,0.30000000000000004,0.1559227296458953
income,0.0,0.4,0.1571511931451735
income,0.0,0.5,0.1548478240840267
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1571511931451735
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1576425785448847
income,0.0,0.1,0.1556463253585576
income,0.0,0.2,0.1548478240840267
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1548478240840267
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1548478240840267
income,0.0,0.8,0.1576425785448847
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1571511931451735
income,0.0,0.1,0.1576425785448847
income,0.0,0.2,0.1556463253585576
income,0.0,0.30000000000000004,0.1576425785448847
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1548478240840267
income,0.0,0.6000000000000001,0.1548478240840267
income,0.0,0.7000000000000001,0.1571511931451735
income,0.0,0.8,0.1548478240840267
income,0.0,0.9,0.1548478240840267
income,0.0,0.0,0.1576425785448847
income,0.0,0.1,0.1592702926814286
income,0.0,0.2,0.1571511931451735
income,0.0,0.30000000000000004,0.1559227296458953
income,0.0,0.4,0.1548478240840267
income,0.0,0.5,0.1593010042689108
income,0.0,0.6000000000000001,0.1548478240840267
