dset,dp_importance,mut_ratio,best
income,0.0,0.0,0.1853379727953074
income,0.0,0.05,0.1574275974325113
income,0.0,0.1,0.1548478240840267
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1556463253585576
income,0.0,0.25,0.1548478240840267
income,0.0,0.30000000000000004,0.1575811553699211
income,0.0,0.35000000000000003,0.1556463253585576
income,0.0,0.4,0.1548478240840267
income,0.0,0.45,0.1548478240840267
income,0.0,0.5,0.1574275974325113
income,0.0,0.0,0.1571511931451735
income,0.0,0.05,0.1548478240840267
income,0.0,0.1,0.1556463253585576
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1548478240840267
income,0.0,0.25,0.1559227296458953
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.35000000000000003,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.45,0.1559227296458953
income,0.0,0.5,0.1571511931451735
income,0.0,0.0,0.1600380823684777
income,0.0,0.05,0.1548478240840267
income,0.0,0.1,0.1571511931451735
income,0.0,0.15000000000000002,0.1556463253585576
income,0.0,0.2,0.1556463253585576
income,0.0,0.25,0.1548478240840267
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.35000000000000003,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.45,0.1548478240840267
income,0.0,0.5,0.1574275974325113
income,0.0,0.0,0.1931248735841422
income,0.0,0.05,0.1548478240840267
income,0.0,0.1,0.1548478240840267
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1548478240840267
income,0.0,0.25,0.1548478240840267
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.35000000000000003,0.1559227296458953
income,0.0,0.4,0.1574275974325113
income,0.0,0.45,0.1559227296458953
income,0.0,0.5,0.1548478240840267
income,0.0,0.0,0.1571511931451735
income,0.0,0.05,0.1574275974325113
income,0.0,0.1,0.1571511931451735
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1548478240840267
income,0.0,0.25,0.1556463253585576
income,0.0,0.30000000000000004,0.1571511931451735
income,0.0,0.35000000000000003,0.1548478240840267
income,0.0,0.4,0.1559227296458953
income,0.0,0.45,0.1548478240840267
income,0.0,0.5,0.1556463253585576
income,0.0,0.0,0.1593010042689108
income,0.0,0.05,0.1548478240840267
income,0.0,0.1,0.1548478240840267
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1559227296458953
income,0.0,0.25,0.1548478240840267
income,0.0,0.30000000000000004,0.1556463253585576
income,0.0,0.35000000000000003,0.1559227296458953
income,0.0,0.4,0.1556463253585576
income,0.0,0.45,0.1548478240840267
income,0.0,0.5,0.1571511931451735
income,0.0,0.0,0.1597309664936581
income,0.0,0.05,0.1548478240840267
income,0.0,0.1,0.1548478240840267
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1548478240840267
income,0.0,0.25,0.1548478240840267
income,0.0,0.30000000000000004,0.1571511931451735
income,0.0,0.35000000000000003,0.1548478240840267
income,0.0,0.4,0.1571511931451735
income,0.0,0.45,0.1574275974325113
income,0.0,0.5,0.1556463253585576
income,0.0,0.0,0.1576425785448847
income,0.0,0.05,0.1575811553699211
income,0.0,0.1,0.1548478240840267
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1548478240840267
income,0.0,0.25,0.1574275974325113
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.35000000000000003,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.45,0.1548478240840267
income,0.0,0.5,0.1556463253585576
income,0.0,0.0,0.1548478240840267
income,0.0,0.05,0.1593010042689108
income,0.0,0.1,0.1556463253585576
income,0.0,0.15000000000000002,0.1574275974325113
income,0.0,0.2,0.1548478240840267
income,0.0,0.25,0.1548478240840267
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.35000000000000003,0.1548478240840267
income,0.0,0.4,0.1548478240840267
income,0.0,0.45,0.1548478240840267
income,0.0,0.5,0.1548478240840267
income,0.0,0.0,0.1575811553699211
income,0.0,0.05,0.1548478240840267
income,0.0,0.1,0.1556463253585576
income,0.0,0.15000000000000002,0.1548478240840267
income,0.0,0.2,0.1575811553699211
income,0.0,0.25,0.1556463253585576
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.35000000000000003,0.1556463253585576
income,0.0,0.4,0.1548478240840267
income,0.0,0.45,0.1548478240840267
income,0.0,0.5,0.1548478240840267
income,0.0,0.0,0.1548478240840267
income,0.0,0.05,0.1548478240840267
income,0.0,0.1,0.1548478240840267
income,0.0,0.15000000000000002,0.1556463253585576
income,0.0,0.2,0.1548478240840267
income,0.0,0.25,0.1559227296458953
income,0.0,0.30000000000000004,0.1548478240840267
income,0.0,0.35000000000000003,0.1556463253585576
income,0.0,0.4,0.1548478240840267
income,0.0,0.45,0.1556463253585576
income,0.0,0.5,0.1548478240840267
