pre_task,fair_metric,fair_value
Oversampling,dp,0.366707879446375
No Resampling,eo,0.07275511180579924
Undersampling,eo,0.1446515279271945
Oversampling,eo,0.13981864126914623
No Resampling,eqOdds,0.1493384007893011
Undersampling,eqOdds,0.37429162537304733
Oversampling,eqOdds,0.3429962387164823
No Resampling,accu,0.1509520884520884
Undersampling,accu,0.17729591836734693
Oversampling,accu,0.17394822006472488
No Resampling,dp,0.1825004525041079
Undersampling,dp,0.3619939430533903
Oversampling,dp,0.3907550277017951
No Resampling,eo,0.1189384461088992
Undersampling,eo,0.15214678998616724
Oversampling,eo,0.15539740630074866
No Resampling,eqOdds,0.1884946567143505
Undersampling,eqOdds,0.36468188083748687
Oversampling,eqOdds,0.390526306788146
No Resampling,accu,0.14527027027027029
Undersampling,accu,0.17729591836734693
Oversampling,accu,0.17920711974110037
