pre_task,fair_metric,fair_value
K Best,eo,0.2538067081785359
No Selection,eqOdds,0.18360233530217307
Variance Threshold,eqOdds,0.23004322735581725
K Best,eqOdds,0.3518758331797075
No Selection,accu,0.14511670761670759
Variance Threshold,accu,0.1512592137592138
K Best,accu,0.15863022113022118
No Selection,dp,0.18145452521606387
Variance Threshold,dp,0.17557915613703978
K Best,dp,0.17818963090562423
No Selection,eo,0.119392112086396
Variance Threshold,eo,0.13665433700020818
K Best,eo,0.1462023984851673
No Selection,eqOdds,0.1875519088751479
Variance Threshold,eqOdds,0.2176228161967233
K Best,eqOdds,0.2262674088301262
No Selection,accu,0.14972358722358725
Variance Threshold,accu,0.1543304668304668
K Best,accu,0.16323710073710074
