pre_task,fair_metric,fair_value
Target,accu,0.1575552825552825
LOO,accu,0.15663390663390664
WOE,accu,0.15202702702702697
Count,accu,0.21314496314496312
One Hot,dp,0.19715789008718815
Ordinal,dp,0.1750053859185955
Target,dp,0.17792281013298666
LOO,dp,0.1682046721766269
WOE,dp,0.17266579108495594
Count,dp,0.14248433934651283
One Hot,eo,0.18049698049698049
Ordinal,eo,0.27315190631445874
Target,eo,0.14397947071214395
LOO,eo,0.09536449606857561
WOE,eo,0.15188484379034345
Count,eo,0.1904237824161923
One Hot,eqOdds,0.26160621536983153
Ordinal,eqOdds,0.34871795952893003
Target,eqOdds,0.2193673484829719
LOO,eqOdds,0.1743593481034202
WOE,eqOdds,0.22235630572558884
Count,eqOdds,0.27166031930966794
One Hot,accu,0.1481879606879607
Ordinal,accu,0.1773648648648649
Target,accu,0.15294840294840295
LOO,accu,0.1609336609336609
WOE,accu,0.15340909090909094
Count,accu,0.20654176904176902
One Hot,dp,0.17434613789020803
Ordinal,dp,0.1780869885636064
Target,dp,0.1853569598158616
LOO,dp,0.1776436412087133
WOE,dp,0.17727963945630787
Count,dp,0.14220343148476472
One Hot,eo,0.14520610489827673
Ordinal,eo,0.26240588924209474
Target,eo,0.15901131105882937
LOO,eo,0.14474380456830405
WOE,eo,0.15754843540386232
Count,eo,0.10251294533645594
One Hot,eqOdds,0.20814877800165488
Ordinal,eqOdds,0.33270169702488617
Target,eqOdds,0.2397017603154551
LOO,eqOdds,0.22383448382214394
WOE,eqOdds,0.2294911827688219
Count,eqOdds,0.1916315532618766
One Hot,accu,0.14649877149877155
Ordinal,accu,0.1744471744471745
Target,accu,0.1483415233415234
LOO,accu,0.1547911547911548
WOE,accu,0.1543304668304668
Count,accu,0.21007371007371012
One Hot,dp,0.1878123347840125
Ordinal,dp,0.1692946623093682
Target,dp,0.18629196426491074
LOO,dp,0.1930299679835034
WOE,dp,0.18585603444428853
Count,dp,0.132010380967098
One Hot,eo,0.10361496203456438
Ordinal,eo,0.21674735800926648
Target,eo,0.1367158423936254
LOO,eo,0.18067899040170637
WOE,eo,0.14026965562053278
Count,eo,0.13169678580410427
One Hot,eqOdds,0.18166103020883073
Ordinal,eqOdds,0.2918749311829231
Target,eqOdds,0.21758801072702647
LOO,eqOdds,0.25770509680062076
WOE,eqOdds,0.2265215355955887
Count,eqOdds,0.20746583148143055
One Hot,accu,0.15402334152334152
Ordinal,accu,0.17859336609336607
Target,accu,0.15724815724815722
LOO,accu,0.15218058968058967
WOE,accu,0.15878378378378377
Count,accu,0.21636977886977882
One Hot,dp,0.18259391636668393
Ordinal,dp,0.159294703016703
Target,dp,0.18799616799272792
LOO,dp,0.18611394445199367
WOE,dp,0.17144738808241694
Count,dp,0.1384848484848485
One Hot,eo,0.12481644640234951
Ordinal,eo,0.23585058437094186
Target,eo,0.18546372638444253
LOO,eo,0.13857147465883796
WOE,eo,0.09810721583587484
Count,eo,0.13129143794111364
One Hot,eqOdds,0.19355270033626804
Ordinal,eqOdds,0.30025847910778397
Target,eqOdds,0.26820408096093407
LOO,eqOdds,0.2190017393275987
WOE,eqOdds,0.17224435336272542
Count,eqOdds,0.2137620318946472
One Hot,accu,0.14603808353808356
Ordinal,accu,0.1746007371007371
Target,accu,0.15509828009828008
LOO,accu,0.1609336609336609
WOE,accu,0.1612407862407862
Count,accu,0.2102272727272727
One Hot,dp,0.16730823067192008
Ordinal,dp,0.166736802834581
Target,dp,0.18547498359661918
LOO,dp,0.17481126561228916
WOE,dp,0.17801594275504168
Count,dp,0.1367454091774784
One Hot,eo,0.07184362359608237
Ordinal,eo,0.2612069483680951
