pre_task,fair_metric,fair_value
No Scaling,eo,0.19667359667359668
MaxAbs,eo,0.1857475547275268
MinMax,eo,0.12926864412012928
Normalizer,eo,0.6942148760330579
QuantileTransformer,eo,0.18211191439309177
No Scaling,eqOdds,0.28304684921790413
MaxAbs,eqOdds,0.2551670083631198
MinMax,eqOdds,0.20241646737703126
Normalizer,eqOdds,0.751267173972836
QuantileTransformer,eqOdds,0.26373817243701203
No Scaling,accu,0.14987714987714984
MaxAbs,accu,0.14695945945945943
MinMax,accu,0.15187346437346438
Normalizer,accu,0.21898034398034394
QuantileTransformer,accu,0.15356265356265353
No Scaling,dp,0.1821631170962043
MaxAbs,dp,0.18147680263668964
MinMax,dp,0.17758378873772648
Normalizer,dp,0.0587437867148667
QuantileTransformer,dp,0.19134040319882512
No Scaling,eo,0.17379014937836607
MaxAbs,eo,0.11882215158106074
MinMax,eo,0.09831292149478105
Normalizer,eo,0.7573529411764706
QuantileTransformer,eo,0.1909930427729074
No Scaling,eqOdds,0.24117791038976627
MaxAbs,eqOdds,0.18607293080684864
MinMax,eqOdds,0.17598619902860624
Normalizer,eqOdds,0.7903256356638482
QuantileTransformer,eqOdds,0.2691158901742124
No Scaling,accu,0.14619164619164615
MaxAbs,accu,0.15417690417690422
MinMax,accu,0.1443488943488943
Normalizer,accu,0.22312653562653562
QuantileTransformer,accu,0.15417690417690422
No Scaling,dp,0.18104944378531979
MaxAbs,dp,0.19364276960784313
MinMax,dp,0.18831337211868043
Normalizer,dp,0.058363970588235295
QuantileTransformer,dp,0.1857243091275967
No Scaling,eo,0.09652902644635719
MaxAbs,eo,0.16281430579415895
MinMax,eo,0.15072421324938073
Normalizer,eo,0.7931034482758621
QuantileTransformer,eo,0.13850985488412387
No Scaling,eqOdds,0.16742861963188105
MaxAbs,eqOdds,0.2370589981711966
MinMax,eqOdds,0.22489722257826317
Normalizer,eqOdds,0.8337413083581666
QuantileTransformer,eqOdds,0.21913785825890836
No Scaling,accu,0.15340909090909094
MaxAbs,accu,0.14557739557739557
MinMax,accu,0.15171990171990168
Normalizer,accu,0.22435503685503688
QuantileTransformer,accu,0.1546375921375921
No Scaling,dp,0.18331763011058821
MaxAbs,dp,0.1777565435347332
MinMax,dp,0.18852453342009845
Normalizer,dp,0.057655954631379965
QuantileTransformer,dp,0.1925773834889397
No Scaling,eo,0.14249981333532435
MaxAbs,eo,0.14950729508822858
MinMax,eo,0.16331026177573493
Normalizer,eo,0.757847533632287
QuantileTransformer,eo,0.15573734262215372
No Scaling,eqOdds,0.20909418974825966
MaxAbs,eqOdds,0.2191125582461233
MinMax,eqOdds,0.24417514865616885
Normalizer,eqOdds,0.7937693508536288
QuantileTransformer,eqOdds,0.23928710489146057
No Scaling,accu,0.14511670761670759
MaxAbs,accu,0.14665233415233414
MinMax,accu,0.15248771498771496
Normalizer,accu,0.22251228501228504
QuantileTransformer,accu,0.1581695331695332
No Scaling,dp,0.16616704583796327
MaxAbs,dp,0.1841248557179927
MinMax,dp,0.1812397856449799
Normalizer,dp,0.0794979079497908
QuantileTransformer,dp,0.18676124974724315
No Scaling,eo,0.07008124071754646
MaxAbs,eo,0.11808018272525095
MinMax,eo,0.10800350312173351
Normalizer,eo,0.672566371681416
QuantileTransformer,eo,0.09891524177238464
No Scaling,eqOdds,0.14198139929796433
MaxAbs,eqOdds,0.20135987837584898
MinMax,eqOdds,0.18867646103622018
Normalizer,eqOdds,0.7229559820710264
QuantileTransformer,eqOdds,0.18721471301677114
No Scaling,accu,0.1514127764127764
MaxAbs,accu,0.15003071253071254
MinMax,accu,0.15264127764127766
Normalizer,accu,0.21606265356265353
QuantileTransformer,accu,0.14680589680589684
No Scaling,dp,0.17448724678019387
MaxAbs,dp,0.19544081926514667
MinMax,dp,0.17357985988931895
Normalizer,dp,0.07808802650260294
QuantileTransformer,dp,0.1846107274050569
No Scaling,eo,0.1282130860230758
MaxAbs,eo,0.16549925484351719
MinMax,eo,0.11743050062248211
Normalizer,eo,0.7023255813953488
QuantileTransformer,eo,0.15122456758946012
No Scaling,eqOdds,0.19613709405239244
MaxAbs,eqOdds,0.24995607296228023
MinMax,eqOdds,0.18769123151226208
Normalizer,eqOdds,0.7555394907736418
QuantileTransformer,eqOdds,0.22632232723782067
No Scaling,accu,0.1478808353808354
MaxAbs,accu,0.15601965601965606
MinMax,accu,0.14864864864864868
Normalizer,accu,0.21944103194103193
QuantileTransformer,accu,0.15264127764127766
No Scaling,dp,0.17150030668814953
MaxAbs,dp,0.1879255174291939
MinMax,dp,0.1982077491484583
Normalizer,dp,0.09147212958551691
QuantileTransformer,dp,0.191208946004588
No Scaling,eo,0.11805273833671398
MaxAbs,eo,0.15270245588400588
MinMax,eo,0.16070587619695464
Normalizer,eo,0.6966824644549763
QuantileTransformer,eo,0.14044118860235272
No Scaling,eqOdds,0.18360233530217307
MaxAbs,eqOdds,0.2284123253208507
MinMax,eqOdds,0.2507653762195345
Normalizer,eqOdds,0.7644790746244678
QuantileTransformer,eqOdds,0.22586990837686688
No Scaling,accu,0.14511670761670759
MaxAbs,accu,0.14742014742014742
MinMax,accu,0.15218058968058967
Normalizer,accu,0.22143734643734647
QuantileTransformer,accu,0.1547911547911548
No Scaling,dp,0.18145452521606387
MaxAbs,dp,0.180583048100402
MinMax,dp,0.17896600465824253
Normalizer,dp,0.08288530465949821
QuantileTransformer,dp,0.20555392248874657
No Scaling,eo,0.119392112086396
MaxAbs,eo,0.14020271893164243
MinMax,eo,0.11430675362928672
Normalizer,eo,0.691358024691358
QuantileTransformer,eo,0.21606025312524263
No Scaling,eqOdds,0.1875519088751479
MaxAbs,eqOdds,0.22162178990478945
MinMax,eqOdds,0.18953565435576092
Normalizer,eqOdds,0.7466621976425898
QuantileTransformer,eqOdds,0.3097633807292646
No Scaling,accu,0.14972358722358725
MaxAbs,accu,0.14941646191646196
MinMax,accu,0.15218058968058967
Normalizer,accu,0.2071560196560197
QuantileTransformer,accu,0.15294840294840295
