pipe,gen,dp_acc_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"target_enc,mean_imp,no_scale,under_samp,k_best_sel",0,"(0, 20)",95569,0.8222481390461024,0.15603686883809198,0.6633491406465329,1.4734604991554308,0.21326754385964927,0.20926368639825185,0.21980080409356725,0.21466552078593454,0.21326754385964924
"count_enc,most_freq_imp,no_sel,under_samp,no_scale",0,"(0, 20)",95569,0.7747558163980404,0.18059372523235515,0.5914859530653228,1.2874751855050008,0.20006396198830426,0.19530331923199984,0.2076937134502926,0.2015837510607145,0.20006396198830426
"woe_enc,mean_imp,no_samp,no_sel,no_scale",0,"(0, 20)",95569,0.823002792833568,0.09006029243049278,0.699019569240462,1.3663984866193783,0.17845117845117825,0.2235649546827792,0.2485380116959064,0.2362555720653785,0.19166426996452848
"ordinal_enc,most_freq_imp,over_samp,k_best_sel,no_scale",0,"(0, 20)",95569,0.8194007439109409,0.1577202081075493,0.6825296826196251,1.4778280859909445,0.21971766848816024,0.21585104400421265,0.2265767304189436,0.2213024944526354,0.2197176684881603
"onehot_enc,median_imp,no_scale,no_sel,over_samp",0,"(0, 20)",95569,0.7663271118957186,0.1846348011923082,0.5758664319994576,1.2215217026547291,0.1895918715846995,0.18346494158315885,0.19925432604735885,0.19146385389659207,0.1895918715846995
"loo_enc,median_imp,k_best_sel,min_max_scale,no_samp",0,"(0, 20)",95569,0.9039839274084046,0.0474800227978552,0.8495097846202312,1.6655116839554611,0.1975308641975312,0.2438271604938275,0.28362573099415184,0.2642642642642643,0.21376186367558248
"count_enc,mean_imp,no_sel,min_max_scale,no_samp",0,"(0, 20)",95569,0.8594420956186737,0.06943166198529846,0.7675315982202613,1.5030491670711648,0.1874298540965209,0.23241590214067284,0.2660818713450296,0.24962630792227186,0.20225769341386265
"count_enc,mean_imp,under_samp,max_abs_scale,k_best_sel",0,"(0, 20)",95569,0.8211871035385901,0.16878928318401676,0.6466357985195104,1.4992420752493931,0.21655701754385956,0.21994569702711486,0.21011513157894748,0.21516364384384806,0.2165570175438596
"loo_enc,median_imp,over_samp,no_sel,max_abs_scale",0,"(0, 20)",95569,0.8261485386548392,0.15408918023025578,0.6094959885656557,1.4498294109303278,0.1945440573770492,0.1902024750422184,0.2015027322404371,0.1959200831550482,0.1945440573770492
"ordinal_enc,mean_imp,k_best_sel,under_samp,max_abs_scale",0,"(0, 20)",95569,0.8682538411770053,0.12387313995323622,0.7514211816356262,1.6470335890454124,0.2268594663742689,0.21670458741362192,0.24451754385964905,0.2309300947111924,0.2268594663742689
"count_enc,most_freq_imp,no_sel,under_samp,no_scale",1,"(0, 20)",95569,0.7747558163980404,0.18059372523235515,0.5914859530653228,1.2874751855050008,0.20006396198830426,0.19530331923199984,0.2076937134502926,0.2015837510607145,0.20006396198830426
"woe_enc,mean_imp,no_samp,no_sel,no_scale",1,"(0, 20)",95569,0.823002792833568,0.09006029243049278,0.699019569240462,1.3663984866193783,0.17845117845117825,0.2235649546827792,0.2485380116959064,0.2362555720653785,0.19166426996452848
"onehot_enc,mean_imp,no_sel,min_max_scale,no_samp",1,"(0, 20)",95569,0.8446886487321871,0.07584586863447243,0.7302437295743596,1.4083064076370382,0.17171717171717146,0.21100917431192684,0.2456140350877192,0.2286995515695068,0.1856485475985044
"count_enc,median_imp,no_scale,no_sel,over_samp",1,"(0, 20)",95569,0.7873952104281654,0.17059506091204898,0.6036141270234082,1.319823024221889,0.1979451275045537,0.19137083704328514,0.20858948087431695,0.2000905488829831,0.19794512750455373
"count_enc,mean_imp,no_samp,no_sel,no_scale",1,"(0, 20)",95569,0.8018799191954861,0.09752582570830454,0.7087845021065469,1.3284426217646663,0.18518518518518515,0.23100303951367754,0.26023391812865515,0.2459016393442625,0.1993337168056754
"woe_enc,mean_imp,no_sel,min_max_scale,no_samp",1,"(0, 20)",95569,0.8631897912550097,0.062139811577602726,0.7761152892073874,1.4831428295682616,0.17732884399551085,0.214285714285714,0.26023391812865515,0.23795180722891554,0.1929584891189721
