pipe,gen,acc_dp_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"onehot_enc,mean_imp,k_best_sel,no_samp,no_scale",0,"(0, 20)",38428,0.9636048526863092,0.0363951473136915,0.8990825688073387,1.8777150474398203,0.21212121212121232,0.27164179104477565,0.28654970760233905,0.2791728212703101,0.2261528137283103
"onehot_enc,median_imp,min_max_scale,no_sel,no_samp",0,"(0, 20)",38428,0.8446886487321871,0.07584586863447243,0.7302437295743596,1.4083064076370382,0.17171717171717146,0.21100917431192684,0.2456140350877192,0.2286995515695068,0.1856485475985044
"target_enc,mean_imp,quant_scale,under_samp,k_best_sel",0,"(0, 20)",38428,0.8314585602089896,0.16662355664329478,0.6678747735953068,1.5605836145523988,0.2260827850877192,0.2317651698399843,0.2151407163742692,0.22366406020067506,0.2260827850877192
"woe_enc,mean_imp,no_scale,over_samp,k_best_sel",0,"(0, 20)",38428,0.7820938626053985,0.1937037769075422,0.5624762914840005,1.3275411359759288,0.19804474043715847,0.20432143806934455,0.1873576958105647,0.19596978722598185,0.19804474043715845
"count_enc,median_imp,under_samp,min_max_scale,no_sel",0,"(0, 20)",38428,0.8149522276120208,0.16628229518849516,0.6433775396700399,1.4609342243081391,0.21324470029239784,0.2133804648179208,0.21276498538011707,0.2131269377187545,0.21324470029239775
"ordinal_enc,median_imp,no_samp,no_scale,no_sel",0,"(0, 20)",38428,0.8206625528485809,0.07968556573409262,0.8102925542386906,1.4605774545235886,0.20763187429854085,0.2554517133956385,0.3011695906432749,0.2790346907993969,0.2252660339373023
"count_enc,mean_imp,under_samp,min_max_scale,no_sel",0,"(0, 20)",38428,0.8136237798094883,0.16962428510360916,0.6310981612001421,1.4588445379111423,0.21157711988304104,0.21317507844766195,0.2085160818713452,0.21091514585270896,0.21157711988304104
"count_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0,"(0, 20)",38428,0.8143434481621181,0.17335258975719967,0.6294015764178749,1.4690783926571909,0.21310052367941704,0.2179134905156492,0.20449112021857924,0.21128762668244053,0.21310052367941704
"target_enc,median_imp,min_max_scale,no_sel,under_samp",0,"(0, 20)",38428,0.8240846938749318,0.16259736872685962,0.6187449551128087,1.4776947134367655,0.20438139619883053,0.2049430693414045,0.2031706871345031,0.2041248736118552,0.20438139619883056
"onehot_enc,most_freq_imp,over_samp,norm_scale,k_best_sel",0,"(0, 20)",38428,0.32852777016240864,-1.0,0.4373635072342121,0.6780819901401949,0.3310280054644808,0.30873586253668633,0.3893158014571949,0.3515533262354523,0.3310280054644808
"count_enc,median_imp,over_samp,norm_scale,k_best_sel",1,"(0, 20)",38428,0.19635175579100286,-1.0,0.6330632092959294,0.7653081345096047,0.23767645719489985,0.2479127325956421,0.21718465391621125,0.2329301774469862,0.2376764571948998
"onehot_enc,most_freq_imp,over_samp,max_abs_scale,k_best_sel",1,"(0, 20)",38428,0.8304331597270167,0.16956684027298316,0.6627709744003515,1.5564341688447954,0.2250398451730419,0.2315136029571569,0.2118909380692167,0.22212793129542427,0.225039845173042
"count_enc,median_imp,over_samp,no_scale,k_best_sel",1,"(0, 20)",38428,0.7918368345591448,0.18794980194346986,0.5996274768105156,1.390889792812415,0.2098986794171221,0.21688437577673805,0.1975182149362478,0.20735616170839252,0.2098986794171221
"onehot_enc,mean_imp,k_best_sel,no_samp,max_abs_scale",1,"(0, 20)",38428,0.967071057192376,0.03292894280762562,0.8990825688073387,1.8819885517133208,0.2098765432098766,0.26726726726726696,0.28654970760233905,0.27703703703703664,0.22433132010353773
