pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"ordinal_enc,most_freq_imp,k_best_sel,no_scale,no_samp",0.8394893419730872,0.8011182423120842,1.535686143546652,0.2154882154882155,0.2727272727272727,0.2982456140350877,0.2857142857142858,0.2310900201322978,0.0815343087820578,0,"(0, 20)",90199
"loo_enc,most_freq_imp,k_best_sel,over_samp,norm_scale",0.321259842519685,0.4491017964071856,0.688418035723425,0.3415300546448088,0.3156779661016949,0.4116575591985428,0.367286973555338,0.3415300546448088,-1.0,0,"(0, 20)",90199
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,0,"(0, 20)",90199
"woe_enc,most_freq_imp,over_samp,no_sel,norm_scale",0.2992248062015504,0.4745762711864407,0.6882514848616543,0.2987249544626593,0.2862669245647968,0.3278688524590164,0.3076923076923076,0.2987249544626593,-1.0,0,"(0, 20)",90199
"loo_enc,most_freq_imp,max_abs_scale,under_samp,k_best_sel",0.8366834170854272,0.5963302752293578,1.523665915367766,0.2032163742690058,0.2108262108262107,0.1900584795321637,0.2005772005772005,0.2032163742690057,0.1633165829145728,0,"(0, 20)",90199
"loo_enc,median_imp,under_samp,no_sel,max_abs_scale",0.8481117088968658,0.6336181438752609,1.514405180912298,0.1973684210526315,0.1891891891891891,0.2105263157894736,0.1999999999999999,0.1973684210526315,0.1337791442939483,0,"(0, 20)",90199
"onehot_enc,most_freq_imp,no_sel,max_abs_scale,under_samp",0.8109982004869271,0.6152695200220499,1.427904471613608,0.2032163742690058,0.2023460410557185,0.2046783625730994,0.2035139092240117,0.2032163742690058,0.1683582089552238,0,"(0, 20)",90199
"onehot_enc,most_freq_imp,no_sel,max_abs_scale,no_samp",0.8481548532382519,0.7394180415009647,1.4196174717003949,0.1717171717171717,0.2092307692307692,0.2485380116959064,0.2293853073463269,0.1861997890902118,0.0720535752027488,0,"(0, 20)",90199
"woe_enc,median_imp,k_best_sel,no_scale,over_samp",0.7517607086852458,0.5243895175699822,1.2425756524227838,0.1994535519125683,0.2084805653710247,0.1839708561020036,0.1964125560538115,0.1994535519125682,0.2184492399216325,0,"(0, 20)",90199
"woe_enc,mean_imp,k_best_sel,over_samp,min_max_scale",0.8199804533860934,0.6101214574898786,1.4629229769580645,0.2021857923497267,0.2075134168157424,0.1930783242258652,0.2003610108303249,0.2021857923497266,0.1673766761872488,0,"(0, 20)",90199
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,1,"(0, 20)",90199
"loo_enc,most_freq_imp,k_best_sel,over_samp,norm_scale",0.3225308641975308,0.4777777777777778,0.7235042735042735,0.3542805100182149,0.3275862068965517,0.4316939890710383,0.3840078973346496,0.3542805100182149,-1.0,1,"(0, 20)",90199
"loo_enc,mean_imp,k_best_sel,over_samp,norm_scale",0.3343605546995377,0.4143646408839779,0.6515441280634651,0.3324225865209471,0.3075313807531381,0.3970856102003642,0.3554040895813046,0.3324225865209471,-1.0,1,"(0, 20)",90199
"count_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,1,"(0, 20)",90199
"ordinal_enc,most_freq_imp,k_best_sel,no_scale,no_samp",0.8394893419730872,0.8011182423120842,1.535686143546652,0.2154882154882155,0.2727272727272727,0.2982456140350877,0.2857142857142858,0.2310900201322978,0.0815343087820578,1,"(0, 20)",90199
"woe_enc,most_freq_imp,over_samp,no_sel,norm_scale",0.2912172573189522,0.5193370165745856,0.7372857345233036,0.314207650273224,0.2976190476190476,0.355191256830601,0.3276353276353276,0.3142076502732241,-1.0,1,"(0, 20)",90199
"onehot_enc,most_freq_imp,no_sel,max_abs_scale,under_samp",0.8113172558127213,0.5920384297357956,1.3922084977630065,0.1900584795321637,0.188235294117647,0.1929824561403509,0.1906158357771261,0.1900584795321638,0.1679556610095814,1,"(0, 20)",90199
"loo_enc,median_imp,under_samp,no_sel,max_abs_scale",0.846004243281471,0.6427924558018664,1.521335549923756,0.195906432748538,0.1848484848484848,0.2134502923976607,0.1994047619047618,0.1959064327485379,0.1386138613861386,1,"(0, 20)",90199
"woe_enc,mean_imp,k_best_sel,over_samp,min_max_scale",0.8037814822833225,0.5983606557377049,1.4383416623853782,0.2122040072859745,0.2178571428571428,0.2021857923497267,0.2100991884580703,0.2122040072859745,0.1852827152366322,1,"(0, 20)",90199
"woe_enc,median_imp,k_best_sel,no_scale,over_samp",0.7607637034101288,0.5399296835760924,1.282807176453585,0.2040072859744991,0.2123893805309734,0.1894353369763205,0.201077199281867,0.2040072859744991,0.2144095090659976,1,"(0, 20)",90199
"loo_enc,most_freq_imp,over_samp,k_best_sel,norm_scale",0.4169278996865204,0.3647058823529411,0.7023127199597787,0.3041894353369763,0.3307086614173228,0.2258652094717668,0.2820945945945946,0.3041894353369763,-1.0,2,"(0, 20)",90199
"woe_enc,most_freq_imp,no_sel,over_samp,norm_scale",0.2957074721780604,0.4409937888198758,0.6461219939480809,0.2841530054644808,0.272552783109405,0.3096539162112932,0.291588785046729,0.2841530054644808,-1.0,2,"(0, 20)",90199
"woe_enc,mean_imp,over_samp,no_sel,norm_scale",0.2896764252696456,0.4861878453038674,0.6891792982953204,0.3005464480874317,0.2823061630218688,0.3424408014571949,0.3136882129277567,0.3005464480874317,-1.0,2,"(0, 20)",90199
"count_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,2,"(0, 20)",90199
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,2,"(0, 20)",90199
"woe_enc,most_freq_imp,over_samp,no_sel,norm_scale",0.2929447852760736,0.4945652173913043,0.7039669267930138,0.3014571948998178,0.2837301587301587,0.3424408014571949,0.3143399810066476,0.3014571948998178,-1.0,2,"(0, 20)",90199
"woe_enc,median_imp,k_best_sel,no_scale,over_samp",0.778395061728395,0.5807588075880759,1.3300465568758253,0.2058287795992713,0.2100538599640933,0.1985428051001821,0.2043399638336347,0.2058287795992714,0.1947637292464878,2,"(0, 20)",90199
"onehot_enc,most_freq_imp,no_sel,max_abs_scale,under_samp",0.7957776707108756,0.583454738748671,1.3780351583290906,0.2046783625730994,0.2080924855491329,0.1988304093567251,0.2034883720930232,0.2046783625730993,0.1756998321310285,2,"(0, 20)",90199
"loo_enc,most_freq_imp,k_best_sel,over_samp,norm_scale",0.3317972350230415,0.4371584699453552,0.6786114613983466,0.3333333333333333,0.3105590062111801,0.3934426229508196,0.3546511627906977,0.3333333333333333,-1.0,2,"(0, 20)",90199
"woe_enc,mean_imp,k_best_sel,over_samp,min_max_scale",0.8006043956043956,0.5852322064856125,1.42948671740679,0.2103825136612022,0.2150537634408602,0.2021857923497267,0.2086720867208672,0.2103825136612023,0.1848391608391608,2,"(0, 20)",90199
"woe_enc,mean_imp,over_samp,no_sel,norm_scale",0.3076923076923077,0.456043956043956,0.6718559218559219,0.3005464480874317,0.2865497076023392,0.3333333333333333,0.3107344632768362,0.3005464480874318,-1.0,3,"(0, 20)",90199
"woe_enc,most_freq_imp,no_sel,over_samp,norm_scale",0.2830482115085536,0.5085714285714286,0.7136996336996337,0.3005464480874317,0.2831683168316832,0.3406193078324225,0.3130929791271346,0.3005464480874316,-1.0,3,"(0, 20)",90199
"count_enc,median_imp,k_best_sel,no_scale,over_samp",0.7741992931313186,0.5959599018746783,1.334563890478667,0.2131147540983606,0.2182468694096601,0.2040072859744991,0.2111913357400722,0.2131147540983605,0.1973897236345045,3,"(0, 20)",90199
"woe_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.1889081455805892,0.6146788990825688,0.757841292244962,0.3063973063973064,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,3,"(0, 20)",90199
"woe_enc,most_freq_imp,over_samp,no_sel,norm_scale",0.2942097026604069,0.4619883040935672,0.6671165092217723,0.2950819672131147,0.2807017543859649,0.3278688524590164,0.3050847457627119,0.2950819672131148,-1.0,3,"(0, 20)",90199
"loo_enc,mean_imp,over_samp,k_best_sel,norm_scale",0.3448818897637795,0.3772455089820359,0.6229720047085316,0.3369763205828779,0.3146997929606625,0.3970856102003642,0.3585271317829457,0.3369763205828778,-1.0,3,"(0, 20)",90199
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,3,"(0, 20)",90199
