pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,opt_metric,seed
"ordinal_enc,median_imp,norm_scale,k_best_sel,over_samp",0.3183856502242152,0.582089552238806,0.8188242461163571,0.4585714285714285,0.4400826446280992,0.6128571428571429,0.5422297297297298,0.45857142857142863,-1.0,2,"(1, 0, 0, 0)",45083
"ordinal_enc,mean_imp,min_max_scale,k_best_sel,under_samp",0.16071159354741438,0.11960168273070987,0.25937784873291936,0.29333333333333333,0.29605263157894735,0.2866666666666666,0.2913907284768211,0.29333333333333333,0.712861952861953,2,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,no_sel,no_scale,over_samp",0.11836286262620643,0.07979142364330655,0.15285182715315715,0.265,0.2570162481536189,0.2814285714285715,0.26942628903413224,0.265,0.7733784215571413,2,"(1, 0, 0, 0)",45083
"count_enc,most_freq_imp,under_samp,no_sel,min_max_scale",0.1979544028981426,0.13783844260460953,0.32603191971686274,0.33333333333333337,0.3355263157894737,0.32666666666666666,0.33112582781456956,0.33333333333333337,0.652517807788239,2,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,k_best_sel",0.004347826086956497,0.002352964635739134,0.01911649794665709,0.275,0.2646733111849391,0.05142857142857138,0.17155333749220214,0.424047619047619,0.9951923076923077,2,"(1, 0, 0, 0)",45083
"onehot_enc,median_imp,norm_scale,k_best_sel,over_samp",0.34210526315789475,0.5671641791044776,0.8377524143985953,0.4064285714285715,0.37231968810916183,0.54,0.4690849134377577,0.4064285714285715,-1.0,2,"(1, 0, 0, 0)",45083
"count_enc,most_freq_imp,under_samp,no_sel,no_scale",0.24441549983718658,0.2805451127819549,0.4281026323554214,0.345,0.3495145631067961,0.32999999999999996,0.33990147783251234,0.345,0.5859900717043575,3,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.14199814986123965,0.08469675669747456,0.19531758160401375,0.26428571428571423,0.25,0.2928571428571428,0.2720588235294118,0.26428571428571423,0.7259173288099275,3,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,k_best_sel,no_scale,over_samp",0.13997445013502618,0.08967188107558399,0.1943921607958637,0.27428571428571424,0.26488095238095233,0.29428571428571426,0.27988338192419815,0.27428571428571424,0.7339352051077134,3,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,no_sel",0.04791958859280043,0.004486585110519539,0.10175350475123242,0.275,0.2571428571428571,0.0714285714285714,0.17460317460317454,0.4107142857142857,0.9461489965325207,3,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,over_samp,k_best_sel",0.1751044179069357,0.18751931724144805,0.30863665977811755,0.3364285714285714,0.3545108005082592,0.27428571428571424,0.3167451244115669,0.3364285714285714,0.71656827270996,3,"(1, 0, 0, 0)",45083
"ordinal_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10327255726975226,0.05617204558370473,0.20723597756891046,0.271,0.24433849821215736,0.0942857142857143,0.17608836907082526,0.3888095238095238,0.8814341688583543,3,"(1, 0, 0, 0)",45083
"ordinal_enc,mean_imp,min_max_scale,k_best_sel,under_samp",0.17106083945462192,0.10714285714285715,0.26262582942778917,0.29500000000000004,0.30097087378640774,0.28,0.2906403940886698,0.29500000000000004,0.6999061997498659,3,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,no_sel,no_scale,over_samp",0.18179169259961164,0.13956270750456137,0.28936429480614867,0.2735714285714286,0.2665684830633285,0.2885714285714286,0.27773749093546063,0.2735714285714286,0.6657150817634325,3,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,k_best_sel",0.004347826086956497,0.002352964635739134,0.01911649794665709,0.275,0.2646733111849391,0.05142857142857138,0.17155333749220214,0.424047619047619,0.9951923076923077,3,"(1, 0, 0, 0)",45083
"onehot_enc,median_imp,norm_scale,k_best_sel,over_samp",0.3370044052863436,0.582089552238806,0.8548168249660787,0.40714285714285714,0.373046875,0.5414285714285714,0.47029702970297027,0.40714285714285725,-1.0,3,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,no_sel",0.04791958859280043,0.004486585110519539,0.10175350475123242,0.275,0.2571428571428571,0.0714285714285714,0.17460317460317454,0.4107142857142857,0.9461489965325207,4,"(1, 0, 0, 0)",45083
"ordinal_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10327255726975226,0.05617204558370473,0.20723597756891046,0.271,0.24433849821215736,0.0942857142857143,0.17608836907082526,0.3888095238095238,0.8814341688583543,4,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,no_sel,no_scale,no_samp",0.1555867227676484,0.09196502457651623,0.30215763709392823,0.24,0.20812182741116747,0.10857142857142854,0.16129032258064513,0.3276190476190476,0.8139430871582715,4,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,over_samp,k_best_sel",0.2084634255129349,0.21612378986829384,0.3674346512915148,0.34071428571428575,0.34746922024623805,0.3185714285714286,0.33333333333333337,0.34071428571428575,0.6466975337805915,4,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,k_best_sel",0.004347826086956497,0.002352964635739134,0.01911649794665709,0.275,0.2646733111849391,0.05142857142857138,0.17155333749220214,0.424047619047619,0.9951923076923077,4,"(1, 0, 0, 0)",45083
"ordinal_enc,mean_imp,min_max_scale,k_best_sel,under_samp",0.14819840192974526,0.13259491985728739,0.23961254798543952,0.30333333333333334,0.304635761589404,0.30000000000000004,0.3023255813953488,0.30333333333333334,0.7316407316407316,4,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,no_sel,no_scale,over_samp",0.17065005244038817,0.12263332635420099,0.25622271917751993,0.26642857142857146,0.25705794947994054,0.2857142857142857,0.2716678805535325,0.26642857142857135,0.6820164369378113,4,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.10663343415107723,0.04883398638072167,0.13599536314537797,0.2678571428571429,0.25782414307004475,0.2885714285714286,0.2735229759299781,0.2678571428571428,0.7924260871145354,4,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,k_best_sel,no_scale,over_samp",0.17021355859589643,0.13154667544043314,0.26635846417693737,0.27714285714285714,0.2692307692307693,0.29428571428571426,0.28197674418604646,0.27714285714285714,0.6836502427667622,4,"(1, 0, 0, 0)",45083
"count_enc,most_freq_imp,under_samp,no_sel,no_scale",0.13500000000000006,0.1079972658920027,0.23326745177989355,0.3633333333333333,0.36601307189542487,0.3533333333333334,0.35973597359735976,0.3633333333333334,0.7567567567567567,4,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,no_sel,no_scale,over_samp",0.11857547364204862,0.09679059611760835,0.1534919886603142,0.26357142857142857,0.2583941605839416,0.27428571428571424,0.2664259927797834,0.26357142857142857,0.7754939221384954,5,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,no_sel",0.04791958859280043,0.004486585110519539,0.10175350475123242,0.275,0.2571428571428571,0.0714285714285714,0.17460317460317454,0.4107142857142857,0.9461489965325207,5,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,no_samp,k_best_sel",0.1154277699859747,0.069093410702001,0.2045946355446928,0.239,0.2115143929912391,0.09999999999999998,0.15943962641761178,0.3316666666666668,0.8617271505376345,5,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,over_samp,no_sel",0.08918019762649587,0.04171527133869729,0.1230558510488422,0.2914285714285715,0.28402366863905326,0.3085714285714286,0.2965116279069768,0.29142857142857137,0.8254616132167152,5,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,over_samp,k_best_sel",0.16759589652096346,0.11157638660405389,0.2575556771966954,0.28,0.271513353115727,0.2985714285714286,0.2852983988355168,0.28,0.6873309756604951,5,"(1, 0, 0, 0)",45083
"count_enc,most_freq_imp,under_samp,no_sel,no_scale",0.16144675692059007,0.1337218714586369,0.27734068119973876,0.36,0.36184210526315785,0.3533333333333334,0.35761589403973515,0.3600000000000001,0.7113960628499186,5,"(1, 0, 0, 0)",45083
"ordinal_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10327255726975226,0.05617204558370473,0.20723597756891046,0.271,0.24433849821215736,0.0942857142857143,0.17608836907082526,0.3888095238095238,0.8814341688583543,5,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,k_best_sel",0.004347826086956497,0.002352964635739134,0.01911649794665709,0.275,0.2646733111849391,0.05142857142857138,0.17155333749220214,0.424047619047619,0.9951923076923077,5,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,k_best_sel,no_scale,over_samp",0.14093567251461991,0.09264299743766141,0.2108363918579145,0.275,0.2645739910313901,0.29714285714285715,0.281227173119065,0.275,0.7306058573664207,5,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1344532767817334,0.05878423513694053,0.18168633303903842,0.2785714285714286,0.2727272727272727,0.2914285714285715,0.2821997105643994,0.2785714285714286,0.746990727659223,5,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,k_best_sel",0.004347826086956497,0.002352964635739134,0.01911649794665709,0.275,0.2646733111849391,0.05142857142857138,0.17155333749220214,0.424047619047619,0.9951923076923077,6,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,k_best_sel,no_scale,over_samp",0.1406815096201055,0.0836598570274878,0.19194177692710088,0.2728571428571429,0.2605421686746988,0.2985714285714286,0.28005865102639294,0.2728571428571428,0.7298799702581171,6,"(1, 0, 0, 0)",45083
"ordinal_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10327255726975226,0.05617204558370473,0.20723597756891046,0.271,0.24433849821215736,0.0942857142857143,0.17608836907082526,0.3888095238095238,0.8814341688583543,6,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,no_sel",0.04791958859280043,0.004486585110519539,0.10175350475123242,0.275,0.2571428571428571,0.0714285714285714,0.17460317460317454,0.4107142857142857,0.9461489965325207,6,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,over_samp,no_sel",0.13931197478991603,0.07861494132543695,0.2113691396076938,0.2835714285714286,0.2728635682158921,0.30714285714285716,0.29041697147037315,0.2835714285714286,0.7326108870967741,6,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,no_samp,k_best_sel",0.1154277699859747,0.069093410702001,0.2045946355446928,0.239,0.2115143929912391,0.09999999999999998,0.15943962641761178,0.3316666666666668,0.8617271505376345,6,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.07947008796043092,0.04289175365656689,0.1095363159907844,0.265,0.25629629629629624,0.2828571428571428,0.26981818181818173,0.265,0.8431682141678842,6,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,no_sel,no_scale,over_samp",0.16382036685641999,0.12470712569417444,0.22937768449317358,0.24928571428571433,0.2360902255639098,0.27428571428571424,0.25567765567765555,0.24928571428571422,0.6905615292712067,6,"(1, 0, 0, 0)",45083
