pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"woe_enc,median_imp,no_sel,max_abs_scale,over_samp",0.0810329495625674,0.0449655529965403,0.0959959041459863,0.2557142857142856,0.247787610619469,0.2714285714285714,0.2597968069666184,0.2557142857142856,0.8410890722717684,0,"(0, 20)",77237
"loo_enc,mean_imp,no_sel,over_samp,min_max_scale",0.1338114621696711,0.072812291249165,0.1751957995709342,0.2628571428571429,0.2537091988130564,0.2814285714285715,0.2678311499272198,0.2628571428571429,0.7454053721802201,0,"(0, 20)",77237
"loo_enc,mean_imp,over_samp,no_sel,min_max_scale",0.1055804488213277,0.0449655529965403,0.1280173547983422,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.2714285714285713,0.8024556284950158,0,"(0, 20)",77237
"loo_enc,most_freq_imp,no_scale,no_samp,k_best_sel",0.0256661991584853,0.0152743297540354,0.0884286599331987,0.285,0.2747014115092291,0.0457142857142857,0.1758173966687229,0.4445238095238095,1.028110599078341,0,"(0, 20)",77237
"count_enc,median_imp,max_abs_scale,k_best_sel,over_samp",0.1621839437374223,0.2140499905283203,0.2895529189724252,0.3285714285714286,0.328080229226361,0.3299999999999999,0.329041487839771,0.3285714285714286,0.704812935735487,0,"(0, 20)",77237
"ordinal_enc,mean_imp,no_sel,norm_scale,under_samp",0.3384615384615385,0.5813953488372093,0.8566247066353745,0.4516666666666666,0.427860696517413,0.6166666666666667,0.5409181636726547,0.4516666666666666,-1.0,0,"(0, 20)",77237
"target_enc,mean_imp,min_max_scale,no_sel,no_samp",0.1109396914446003,0.0510573385577124,0.2075490048241036,0.241,0.2068965517241379,0.1128571428571428,0.162508428860418,0.3264285714285715,0.8642759094028826,0,"(0, 20)",77237
"loo_enc,most_freq_imp,no_sel,under_samp,max_abs_scale",0.1339384603633308,0.0714285714285714,0.1771973403415835,0.265,0.2626262626262626,0.27,0.2663316582914573,0.265,0.7510824047128967,0,"(0, 20)",77237
"loo_enc,mean_imp,no_sel,norm_scale,under_samp",0.3252427184466019,0.6288659793814433,0.913269649106214,0.4683333333333334,0.4512820512820512,0.6433333333333333,0.5676767676767677,0.4683333333333334,-1.0,0,"(0, 20)",77237
"ordinal_enc,median_imp,norm_scale,over_samp,no_sel",0.3130434782608696,0.6069651741293532,0.8579304250946043,0.4535714285714286,0.430406852248394,0.62,0.5441302485004285,0.4535714285714286,-1.0,0,"(0, 20)",77237
"ordinal_enc,mean_imp,no_sel,norm_scale,under_samp",0.3523316062176165,0.5357142857142857,0.8017693315858454,0.4633333333333334,0.4449999999999999,0.63,0.556,0.4633333333333332,-1.0,1,"(0, 20)",77237
"ordinal_enc,median_imp,norm_scale,over_samp,no_sel",0.326797385620915,0.5920398009950248,0.8556056924678931,0.4499999999999999,0.4255319148936169,0.6142857142857143,0.5384615384615384,0.4499999999999999,-1.0,1,"(0, 20)",77237
"loo_enc,mean_imp,min_max_scale,over_samp,no_sel",0.0940385992687247,0.0381260032502816,0.1155228749578754,0.2435714285714285,0.239477503628447,0.2514285714285714,0.2455003599712023,0.2435714285714285,0.8198378739460904,1,"(0, 20)",77237
"ordinal_enc,median_imp,over_samp,no_sel,norm_scale",0.3097949886104784,0.5970149253731343,0.8281073623479243,0.4514285714285714,0.4267241379310345,0.62,0.5429553264604811,0.4514285714285715,-1.0,1,"(0, 20)",77237
"loo_enc,most_freq_imp,no_sel,over_samp,max_abs_scale",0.1459416224290103,0.0927825800855442,0.1987813949623263,0.2614285714285714,0.2536873156342183,0.2771428571428571,0.2656023222060959,0.2614285714285714,0.7259573141964274,1,"(0, 20)",77237
"loo_enc,mean_imp,no_sel,under_samp,min_max_scale",0.1107342077491331,0.0906331540550615,0.1518752886436584,0.2616666666666667,0.2559726962457338,0.2733333333333333,0.2647554806070825,0.2616666666666667,0.7890277179376706,1,"(0, 20)",77237
"loo_enc,mean_imp,over_samp,no_sel,min_max_scale",0.1236858336856257,0.0659727415029063,0.1511126016427664,0.2478571428571429,0.2408223201174743,0.2614285714285714,0.2512671976828385,0.247857142857143,0.7653717215539342,1,"(0, 20)",77237
"target_enc,mean_imp,min_max_scale,no_sel,no_samp",0.1109396914446003,0.0510573385577124,0.2075490048241036,0.241,0.2068965517241379,0.1128571428571428,0.162508428860418,0.3264285714285715,0.8642759094028826,1,"(0, 20)",77237
"loo_enc,most_freq_imp,no_scale,no_samp,k_best_sel",0.0256661991584853,0.0152743297540354,0.0884286599331987,0.285,0.2747014115092291,0.0457142857142857,0.1758173966687229,0.4445238095238095,1.028110599078341,1,"(0, 20)",77237
"woe_enc,median_imp,no_sel,max_abs_scale,over_samp",0.1595448079658606,0.092922162733427,0.2020342562189142,0.2457142857142856,0.239766081871345,0.2571428571428571,0.2485549132947976,0.2457142857142857,0.7060180331306353,1,"(0, 20)",77237
"loo_enc,mean_imp,no_sel,under_samp,min_max_scale",0.0326007326007325,0.0102990198517339,0.0400795088281497,0.2883333333333333,0.2787456445993032,0.31,0.2947189097103919,0.2883333333333333,0.9334330590875094,2,"(0, 20)",77237
"target_enc,mean_imp,min_max_scale,no_sel,no_samp",0.1109396914446003,0.0510573385577124,0.2075490048241036,0.241,0.2068965517241379,0.1128571428571428,0.162508428860418,0.3264285714285715,0.8642759094028826,2,"(0, 20)",77237
"loo_enc,mean_imp,min_max_scale,over_samp,no_sel",0.1450965222516946,0.0839390223232534,0.1920473655900831,0.2542857142857143,0.2521613832853026,0.2585714285714285,0.2553802008608321,0.2542857142857142,0.7331820337375518,2,"(0, 20)",77237
"loo_enc,mean_imp,over_samp,no_sel,min_max_scale",0.1408325750163636,0.0868403473613894,0.175694113166777,0.2621428571428571,0.2576419213973799,0.2714285714285714,0.2645998558038933,0.2621428571428571,0.73837315222411,2,"(0, 20)",77237
"woe_enc,median_imp,no_sel,min_max_scale,over_samp",0.0935721345155454,0.0689438578649837,0.1226267767721979,0.2571428571428571,0.2536231884057971,0.2642857142857142,0.2589928057553957,0.2571428571428571,0.820902934537246,2,"(0, 20)",77237
"loo_enc,mean_imp,no_sel,under_samp,max_abs_scale",0.1358024691358024,0.0591175831341013,0.1975968568744346,0.2983333333333333,0.2949152542372881,0.3066666666666666,0.3008403361344538,0.2983333333333333,0.7465437788018434,2,"(0, 20)",77237
"loo_enc,most_freq_imp,no_scale,no_samp,k_best_sel",0.0256661991584853,0.0152743297540354,0.0884286599331987,0.285,0.2747014115092291,0.0457142857142857,0.1758173966687229,0.4445238095238095,1.028110599078341,2,"(0, 20)",77237
"ordinal_enc,median_imp,over_samp,no_sel,norm_scale",0.3174603174603174,0.6019900497512438,0.8519900497512438,0.4578571428571428,0.4373673036093418,0.6214285714285714,0.547395388556789,0.4578571428571428,-1.0,2,"(0, 20)",77237
"loo_enc,most_freq_imp,no_sel,over_samp,max_abs_scale",0.1302209365931447,0.0808283233132932,0.1739676018440044,0.2607142857142857,0.2533136966126657,0.2757142857142857,0.2646845540246555,0.2607142857142858,0.753182852573959,2,"(0, 20)",77237
