pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,reps,seed
"onehot_enc,median_imp,no_samp,k_best_sel,no_scale",0.19124903616355665,0.2361903968910553,0.3238510884862459,0.16734744018918335,0.285278276481149,0.4922841474301747,0.406308254418015,0.2782820413526278,0.1838393070889347,0,accu_dp,83321
"count_enc,most_freq_imp,under_samp,norm_scale,no_sel",0.11644318983768526,0.7234944868532655,0.7785075076865988,0.2752837648259151,0.2734053497942387,0.27942864430557324,0.27642953192034314,0.275283764825915,-1.0,0,accu_dp,83321
"woe_enc,most_freq_imp,over_samp,k_best_sel,min_max_scale",0.41445663921051545,0.21767732969782952,0.48338989909176744,0.19358818770226538,0.21469735206599116,0.1565938511326861,0.18668201057169043,0.19358818770226538,0.36135058422205074,0,accu_dp,83321
"target_enc,median_imp,no_sel,max_abs_scale,over_samp",0.40809355244647905,0.22200074270347925,0.4770028178507133,0.1943567961165048,0.20890001926411095,0.16937702265372168,0.18962012826837693,0.1943567961165048,0.3577687161145381,0,accu_dp,83321
"count_enc,mean_imp,no_samp,norm_scale,no_sel",0.026274254943830656,0.818490245971162,0.8256837405499777,0.2055526550167378,0.25065160729800173,0.7800025506950644,0.6598639455782314,0.4016719873216421,-1.0,0,accu_dp,83321
"target_enc,mean_imp,min_max_scale,k_best_sel,over_samp",0.4165462185342377,0.22401618310768157,0.4874899751669024,0.19383090614886733,0.20994136358410298,0.1660598705501618,0.1885934701749552,0.19383090614886733,0.34908234625258855,0,accu_dp,83321
"count_enc,mean_imp,over_samp,no_sel,norm_scale",0.1304576538663861,0.6909825033647375,0.7522835876016016,0.2764765372168285,0.2758508782605168,0.27787216828478967,0.2768629357315022,0.2764765372168284,-1.0,0,accu_dp,83321
"woe_enc,median_imp,no_samp,quant_scale,no_sel",0.1996618876456332,0.20757341844125488,0.30205171848769763,0.16522834065292835,0.3027096360429694,0.44535135824512184,0.3821565563290241,0.2608633813879331,0.2249006713346967,0,accu_dp,83321
"loo_enc,mean_imp,min_max_scale,over_samp,no_sel",0.4150402494935494,0.22836856800792757,0.48339368809522043,0.19213187702265377,0.20738974970202617,0.1660598705501618,0.18724989650890023,0.19213187702265377,0.3490129512584911,0,accu_dp,83321
"count_enc,median_imp,no_scale,k_best_sel,no_samp",0.08840852170103555,0.04010173533687322,0.09257467793093517,0.21679309603513408,0.3771984924623115,0.7470985843642393,0.6402721088435375,0.3978413633795307,0.3040384075630185,0,accu_dp,83321
"woe_enc,median_imp,over_samp,quant_scale,no_sel",0.3899764422725585,0.208747559339242,0.4408992532636255,0.19923139158576053,0.20997815571852085,0.18070388349514566,0.19560727619350227,0.19923139158576053,0.3744488481689561,1,accu_dp,83321
"woe_enc,most_freq_imp,no_samp,k_best_sel,min_max_scale",0.19115816274292863,0.21490119419471487,0.3003393170972394,0.16274070206688984,0.28191489361702127,0.4662670577732432,0.38766552052088665,0.26636572953387083,0.2108116017111756,1,accu_dp,83321
"count_enc,mean_imp,no_samp,no_scale,no_sel",0.109780285981143,0.08777543771734353,0.15023025750591226,0.21043579742636898,0.3610564765383535,0.7099859711771458,0.6010526315789474,0.38098408591219757,0.2461038665209247,1,accu_dp,83321
