pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.38827880548881083,0.20408726311980727,0.43956246973137747,0.20054839943884706,0.21267743514439552,0.1794413977808953,0.19640292262536685,0.20054839943884695,0.3789486999163084,0,"(0, 20)",6007
"count_enc,most_freq_imp,under_samp,no_scale,k_best_sel",0.4320207935434487,0.387795502653384,0.692482216821503,0.29798495089912,0.30645161290322576,0.27611274072184666,0.29160686427457083,0.29798495089912014,0.32327969803589457,0,"(0, 20)",6007
"count_enc,most_freq_imp,no_samp,k_best_sel,min_max_scale",0.18825256948133254,0.3065705790491003,0.38971892803902625,0.17551672245938388,0.28816261458748504,0.544445861497258,0.4444358037172408,0.30147050356416305,0.13000562269390542,0,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,no_samp,min_max_scale",0.18990426889056583,0.2061264768289457,0.2905349099097476,0.16148152698012963,0.27896628444292315,0.4626960846830761,0.38424437299035363,0.2643172980049685,0.21613676470440815,0,"(0, 20)",6007
"onehot_enc,mean_imp,no_samp,quant_scale,no_sel",0.19439043248769097,0.19044361587462372,0.27810502417847643,0.16234145142962442,0.29935605465682424,0.43106746588445355,0.37204391891891897,0.2540855128775019,0.25189552739194865,0,"(0, 20)",6007
"onehot_enc,median_imp,norm_scale,over_samp,no_sel",0.222607124030424,0.4260916734472471,0.5136646509284815,0.24110032362459544,0.25977779445987537,0.2022249190938511,0.23207819010163167,0.24110032362459555,-1.0,0,"(0, 20)",6007
"count_enc,median_imp,k_best_sel,norm_scale,over_samp",0.20909159555991844,0.6526978909887702,0.8091824614641663,0.3205501618122978,0.3195427548612806,0.3233414239482201,0.32144740578475517,0.3205501618122978,-1.0,0,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,over_samp,quant_scale",0.3863881100491777,0.19567947208134798,0.4335620787309048,0.20034385113268605,0.2111072111072111,0.18171521035598703,0.19667997061218,0.20034385113268605,0.3798195824379702,0,"(0, 20)",6007
"onehot_enc,median_imp,k_best_sel,over_samp,no_scale",0.4659246631210441,0.31604998774810095,0.6249362599765445,0.20750404530744337,0.23011459072076446,0.16561488673139158,0.19916134417891318,0.20750404530744349,0.3017216656629913,0,"(0, 20)",6007
"loo_enc,median_imp,k_best_sel,no_scale,no_samp",0.17442306477172634,0.15518509266919417,0.23093634668882712,0.1614201038051657,0.27248723816229536,0.47289886494069633,0.3886998964650199,0.26776011208199857,0.24872927824156615,0,"(0, 20)",6007
"target_enc,median_imp,no_sel,over_samp,quant_scale",0.39000932270762406,0.2088827619898667,0.44295936998639474,0.20082928802588995,0.21005998353393185,0.18491100323624599,0.19768252135305708,0.20082928802588995,0.37182354721494876,1,"(0, 20)",6007
